anio;media;16_24;25_34;35_44;45_54;55_64;65_74
2020;93,2;99,8;99,7;99;97,1;89,5;69,7
2019;90,7;99,1;97,9;97,4;94,4;86,5;63,6
2018;86,1;98,5;97,7;96,6;91;76,1;49,1
2017;84,6;98;96,3;95,8;90,3;73,9;43,7
2016;80,6;98,4;96;93,3;84,9;64,8;34,7
2015;78,7;98,5;94,5;91,6;82;61,4;31,3
2014;76,2;98,3;93,7;89,8;78,2;55,4;26,2
2013;71,6;97,4;92,1;83,7;71,2;46,5;21,9
2012;69,5;95,8;87,7;83;67,4;43,8;19
2011;66,5;94,6;86,3;77,7;64,6;37,9;16,2
2010;63,5;93,3;83,6;73,5;59,6;34,6;13,8
2009;59;91,5;78,6;66,8;54;29,3;11,2
2008;55,9;89,4;76,9;62,1;50,1;24,6;8,6
2007;51,5;85,2;71,3;56,2;45,6;21,5;6,6
2006;47,3;81,3;65,1;53,3;39,6;18,1;5,1
